"alphabet","digit","dot","plus","minus","star","percentage","equals","slash","underscore","less_than","greater_than","left_parenthesis","right_parenthesis","bang","pipe","ampersand","left_brace","right_brace","semicolon","comma","blank","new_line","single_quote","colon","token"
1,3,"E",4,6,8,10,13,14,1,15,17,19,20,22,24,26,28,29,33,34,0,0,35,37,
1,1,"E","A","A","A","A","A","A",1,"A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","identifier"
"E",2,"E","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","real_number"
"E",3,2,"A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","integer_number"
"A","A","E",5,"A","A","A",11,"A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","arithmetic_addition"
"A","A","E","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","increment"
"A","A","E","A",7,"A","A",12,"A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","arithmetic_subtraction"
"A","A","E","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","decrement"
"A","A","E","A","A",9,"A","A",32,"A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","arithmetic_multiplication"
"A","A","E","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","arithmetic_exponent"
"A","A","E","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","arithmetic_modulus"
"A","A","E","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","assignment_and_add"
"A","A","E","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","assignment_and_subtract"
"A","A","E","A","A","A","A",23,"A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","assignment"
"A","A","E","A","A",31,"A","A",30,"A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","arithmetic_division"
"A","A","E","A","A","A","A",16,"A","A","A",21,"A","A","A","A","A","A","A","A","A","A","A","A","A","comparison_less_than"
"A","A","E","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","comparison_less_than_or_equal"
"A","A","E","A","A","A","A",18,"A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","comparison_greater_than"
"A","A","E","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","comparison_greater_than_or_equal"
"A","A","E","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","left_parenthesis"
"A","A","E","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","right_parenthesis"
"A","A","E","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","comparison_not_equal"
"A","A","E","A","A","A","A",23,"A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","logical_not"
"A","A","E","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","comparison_equal"
"A","A","E","A","A","A","A","A","A","A","A","A","A","A","A",25,"A","A","A","A","A","A","A","A","A","bitwise_or"
"A","A","E","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","logical_or"
"A","A","E","A","A","A","A","A","A","A","A","A","A","A","A","A",27,"A","A","A","A","A","A","A","A","bitwise_and"
"A","A","E","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","logical_and"
"A","A","E","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","left_brace"
"A","A","E","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","right_brace"
"A","A","E","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","line_comment"
"A","A","E","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","multiline_comment_opening"
"A","A","E","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","multiline_comment_closing"
"A","A","E","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","semicolon"
"A","A","E","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","comma"
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,"E",36,"A","quote"
"A","A","E","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","string"
"A","A","E","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","colon"
